Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
421	TBVG.f2.77	0.560757	0.004254	0	0.891235	0.887208
422	WNV.2.f2.12	0.785408	-0.004943	0	0.895563	0.900265
423	YFVG.f.61	0.803009	-0.002521	0	0.900001	0.902411
424	TBV.f.56	0.863480	0.005811	0	0.909080	0.903468
425	WNV.1a.f.7	1.000000	0.306440	0	0.907517	0.612109
426	RioBrVG.f.75-75	0.822848	-0.002946	0	0.910811	0.913662
427	TBVG.f.79-77	0.863636	-0.001401	0	0.914590	0.915951
428	JEVG.Zi.f.46-45	1.000000	0.086876	0	0.914624	0.830219
429	SLEV.jj.52	0.585582	-0.003605	0	0.917681	0.921195
430	JEVG.Ig-aroa.ja.41	0.822848	0.002195	0	0.917730	0.915590
431	aroa.JEVG.Ig.f.44-39	0.613480	0.001783	0	0.918265	0.916527
432	JEVG.Ig.f.42	0.686484	0.004335	0	0.920828	0.916587
433	f.86	0.839989	-0.001767	0	0.920246	0.921974
434	RioBrVG.1.f2.84	0.873693	0.001759	0	0.921168	0.919447
435	TBVG.f.80-77	0.641183	0.004704	0	0.920977	0.916375
436	TBVG.f2.78	0.641183	-0.003685	0	0.920826	0.924430
437	JEVG.Zi.f.45	0.884491	0.002293	0	0.921347	0.919103
438	NoVertHost.0.f.73	0.879012	0.005867	0	0.922955	0.917203
439	Deng.4.w2.19	0.765681	0.002180	0	0.922007	0.919873
440	WNV.2.w2.14	1.000000	0.020628	0	0.921236	0.901050
441	UsutuV.f.54	0.902045	0.040111	0	0.917230	0.878149
